neighbourhood,room_type,minimum_nights,availability_365,price
FIFTEENTH WARD,Entire home/apt,3,297,116.0
SIXTH WARD,Entire home/apt,1,329,121.0
FIFTEENTH WARD,Entire home/apt,3,171,89.0
FOURTEENTH WARD,Private room,1,269,64.0
SIXTH WARD,Entire home/apt,1,311,92.0
FIFTH WARD,Entire home/apt,2,170,124.0
THIRD WARD,Entire home/apt,30,181,82.0
SIXTH WARD,Entire home/apt,1,84,96.0
FOURTEENTH WARD,Entire home/apt,3,267,97.0
SEVENTH WARD,Entire home/apt,5,231,245.0
THIRD WARD,Entire home/apt,1,262,98.0
EIGHTH WARD,Entire home/apt,2,245,158.0
SECOND WARD,Entire home/apt,1,348,234.0
TENTH WARD,Entire home/apt,1,1,228.0
THIRTEENTH WARD,Private room,1,268,50.0
THIRTEENTH WARD,Private room,1,265,53.0
FOURTEENTH WARD,Private room,1,237,62.0
THIRTEENTH WARD,Entire home/apt,1,323,960.0
FOURTEENTH WARD,Private room,1,245,59.0
NINTH WARD,Private room,1,69,24.0
SIXTH WARD,Entire home/apt,1,53,91.0
FOURTEENTH WARD,Private room,1,268,56.0
THIRTEENTH WARD,Private room,1,245,58.0
SIXTH WARD,Entire home/apt,1,357,102.0
SECOND WARD,Entire home/apt,1,251,66.0
THIRD WARD,Entire home/apt,1,250,108.0
THIRD WARD,Entire home/apt,1,250,108.0
THIRD WARD,Entire home/apt,14,89,89.0
SECOND WARD,Entire home/apt,1,44,94.0
FIRST WARD,Entire home/apt,30,365,105.0
TWELFTH WARD,Private room,2,268,102.0
SECOND WARD,Entire home/apt,1,344,321.0
THIRTEENTH WARD,Private room,5,75,59.0
SIXTH WARD,Entire home/apt,2,16,113.0
TENTH WARD,Entire home/apt,2,21,116.0
SECOND WARD,Entire home/apt,2,43,89.0
SIXTH WARD,Entire home/apt,2,24,93.0
FOURTEENTH WARD,Entire home/apt,3,251,95.0
SIXTH WARD,Entire home/apt,1,360,98.0
THIRTEENTH WARD,Private room,1,268,71.0
THIRD WARD,Entire home/apt,7,268,140.0
THIRD WARD,Private room,30,364,69.0
THIRD WARD,Entire home/apt,2,361,115.0
SIXTH WARD,Entire home/apt,1,158,75.0
SIXTH WARD,Entire home/apt,1,158,115.0
FIFTEENTH WARD,Entire home/apt,2,348,113.0
SECOND WARD,Entire home/apt,3,238,64.0
SECOND WARD,Entire home/apt,5,262,115.0
SEVENTH WARD,Entire home/apt,25,124,75.0
FIFTEENTH WARD,Entire home/apt,1,320,153.0
THIRD WARD,Entire home/apt,14,268,70.0
THIRTEENTH WARD,Private room,28,269,36.0
THIRTEENTH WARD,Private room,20,278,56.0
THIRTEENTH WARD,Entire home/apt,7,236,85.0
SIXTH WARD,Entire home/apt,1,251,79.0
SIXTH WARD,Entire home/apt,1,253,79.0
SIXTH WARD,Entire home/apt,2,269,121.0
TENTH WARD,Private room,28,269,52.0
THIRD WARD,Entire home/apt,30,269,65.0
SEVENTH WARD,Entire home/apt,1,356,108.0
SIXTH WARD,Entire home/apt,2,48,128.0
SEVENTH WARD,Entire home/apt,2,11,213.0
THIRTEENTH WARD,Entire home/apt,1,323,117.0
SIXTH WARD,Entire home/apt,1,55,115.0
SIXTH WARD,Entire home/apt,1,56,92.0
SIXTH WARD,Entire home/apt,1,51,115.0
SIXTH WARD,Entire home/apt,1,118,90.0
FOURTEENTH WARD,Private room,28,169,65.0
SIXTH WARD,Entire home/apt,1,321,142.0
TENTH WARD,Entire home/apt,1,358,97.0
TENTH WARD,Private room,28,331,38.0
SIXTH WARD,Entire home/apt,5,355,242.0
TENTH WARD,Private room,30,364,105.0
NINTH WARD,Private room,2,178,45.0
TENTH WARD,Private room,28,278,56.0
THIRTEENTH WARD,Private room,4,88,85.0
EIGHTH WARD,Entire home/apt,3,358,199.0
ELEVENTH WARD,Entire home/apt,3,362,108.0
THIRTEENTH WARD,Private room,28,341,55.0
THIRTEENTH WARD,Entire home/apt,3,359,107.0
TENTH WARD,Entire home/apt,1,365,117.0
SIXTH WARD,Entire home/apt,1,259,115.0
SIXTH WARD,Entire home/apt,1,239,74.0
SIXTH WARD,Entire home/apt,2,339,84.0
SIXTH WARD,Entire home/apt,1,168,76.0
SECOND WARD,Private room,1,355,58.0
TENTH WARD,Private room,3,359,50.0
TENTH WARD,Private room,28,364,101.0
THIRD WARD,Private room,1,358,108.0
EIGHTH WARD,Entire home/apt,3,348,190.0
TENTH WARD,Private room,28,361,52.0
SIXTH WARD,Entire home/apt,1,363,97.0
TENTH WARD,Private room,30,179,52.0
TENTH WARD,Entire home/apt,1,362,86.0
SEVENTH WARD,Entire home/apt,1,349,162.0
SIXTH WARD,Entire home/apt,2,278,68.0
SIXTH WARD,Private room,1,83,86.0
SIXTH WARD,Entire home/apt,1,358,82.0
THIRTEENTH WARD,Private room,2,364,59.0
THIRD WARD,Entire home/apt,28,364,80.0
SECOND WARD,Private room,1,128,42.0
TENTH WARD,Entire home/apt,2,98,167.0
FOURTH WARD,Entire home/apt,1,177,92.0
TENTH WARD,Entire home/apt,1,312,82.0
SECOND WARD,Entire home/apt,1,347,336.0
TENTH WARD,Private room,30,227,70.0
EIGHTH WARD,Entire home/apt,13,160,132.0
THIRTEENTH WARD,Private room,30,309,70.0
THIRTEENTH WARD,Private room,1,251,39.0
ELEVENTH WARD,Private room,1,335,39.0
SECOND WARD,Entire home/apt,1,358,111.0
SEVENTH WARD,Entire home/apt,1,363,135.0
TENTH WARD,Private room,28,291,56.0
TENTH WARD,Private room,30,188,56.0
ELEVENTH WARD,Private room,1,324,44.0
SIXTH WARD,Entire home/apt,31,215,76.0
FIFTEENTH WARD,Entire home/apt,2,158,98.0
SIXTH WARD,Entire home/apt,2,364,110.0
SIXTH WARD,Entire home/apt,2,251,128.0
SIXTH WARD,Entire home/apt,2,357,103.0
SIXTH WARD,Entire home/apt,31,322,84.0
SECOND WARD,Entire home/apt,1,205,129.0
FOURTH WARD,Entire home/apt,1,54,89.0
SIXTH WARD,Entire home/apt,1,365,77.0
TWELFTH WARD,Entire home/apt,7,356,126.0
FIFTEENTH WARD,Entire home/apt,1,333,193.0
THIRTEENTH WARD,Entire home/apt,1,361,200.0
SECOND WARD,Entire home/apt,2,361,94.0
EIGHTH WARD,Entire home/apt,2,344,296.0
FOURTH WARD,Entire home/apt,1,355,72.0
FIRST WARD,Entire home/apt,2,356,175.0
TENTH WARD,Entire home/apt,28,52,239.0
SIXTH WARD,Entire home/apt,1,322,83.0
FOURTEENTH WARD,Entire home/apt,3,343,313.0
FOURTEENTH WARD,Entire home/apt,7,77,152.0
SEVENTH WARD,Entire home/apt,1,162,68.0
TENTH WARD,Private room,28,55,66.0
TENTH WARD,Private room,28,162,65.0
TENTH WARD,Private room,7,162,80.0
SEVENTH WARD,Entire home/apt,1,333,85.0
ELEVENTH WARD,Private room,1,364,44.0
ELEVENTH WARD,Entire home/apt,1,365,52.0
FOURTEENTH WARD,Entire home/apt,1,354,99.0
TENTH WARD,Private room,5,88,60.0
NINTH WARD,Private room,5,189,43.0
FIFTH WARD,Entire home/apt,1,365,39.0
ELEVENTH WARD,Entire home/apt,1,353,44.0
NINTH WARD,Private room,14,321,51.0
FIFTH WARD,Entire home/apt,1,364,34.0
THIRTEENTH WARD,Private room,5,322,40.0
FOURTEENTH WARD,Private room,28,64,45.0
TENTH WARD,Private room,28,363,51.0
SIXTH WARD,Entire home/apt,2,128,84.0
FOURTH WARD,Entire home/apt,2,89,92.0
SEVENTH WARD,Entire home/apt,1,355,114.0
SIXTH WARD,Entire home/apt,1,301,97.0
THIRD WARD,Entire home/apt,2,316,374.0
SECOND WARD,Entire home/apt,1,173,150.0
THIRD WARD,Entire home/apt,7,269,103.0
ELEVENTH WARD,Entire home/apt,1,365,48.0
ELEVENTH WARD,Entire home/apt,1,365,40.0
SIXTH WARD,Entire home/apt,2,175,77.0
SIXTH WARD,Entire home/apt,7,215,234.0
SECOND WARD,Entire home/apt,1,362,104.0
THIRTEENTH WARD,Entire home/apt,2,363,90.0
SECOND WARD,Entire home/apt,1,349,129.0
SECOND WARD,Entire home/apt,1,299,59.0
SECOND WARD,Entire home/apt,1,344,59.0
FIFTH WARD,Entire home/apt,1,0,34.0
FIFTH WARD,Entire home/apt,1,365,39.0
TENTH WARD,Entire home/apt,2,250,113.0
FOURTEENTH WARD,Entire home/apt,3,343,48.0
SECOND WARD,Entire home/apt,2,26,162.0
SECOND WARD,Entire home/apt,1,342,126.0
SECOND WARD,Entire home/apt,1,355,126.0
THIRD WARD,Entire home/apt,14,361,90.0
FIFTH WARD,Entire home/apt,1,365,38.0
FIFTH WARD,Entire home/apt,1,365,42.0
FIFTH WARD,Entire home/apt,1,365,52.0
TWELFTH WARD,Entire home/apt,2,35,170.0
SIXTH WARD,Entire home/apt,2,265,65.0
FOURTH WARD,Entire home/apt,1,361,104.0
TENTH WARD,Private room,28,178,68.0
TENTH WARD,Private room,28,88,75.0
TENTH WARD,Private room,7,88,81.0
TENTH WARD,Private room,14,88,57.0
THIRD WARD,Entire home/apt,2,180,72.0
NINTH WARD,Entire home/apt,1,336,194.0
SIXTH WARD,Entire home/apt,3,365,135.0
TENTH WARD,Entire home/apt,28,178,218.0
SIXTH WARD,Entire home/apt,1,317,86.0
ELEVENTH WARD,Entire home/apt,1,359,38.0
FIFTH WARD,Entire home/apt,1,360,62.0
FIFTH WARD,Entire home/apt,1,365,42.0
ELEVENTH WARD,Entire home/apt,1,364,39.0
ELEVENTH WARD,Entire home/apt,1,365,41.0
ELEVENTH WARD,Entire home/apt,1,365,34.0
SIXTH WARD,Entire home/apt,1,360,111.0
SIXTH WARD,Entire home/apt,1,344,68.0
THIRD WARD,Entire home/apt,1,338,135.0
SIXTH WARD,Entire home/apt,7,364,75.0
ELEVENTH WARD,Entire home/apt,1,360,108.0
SEVENTH WARD,Private room,1,340,79.0
THIRTEENTH WARD,Entire home/apt,1,359,138.0
SIXTH WARD,Entire home/apt,2,174,79.0
FOURTH WARD,Entire home/apt,2,182,80.0
SIXTH WARD,Entire home/apt,2,182,102.0
SIXTH WARD,Entire home/apt,2,178,69.0
SIXTH WARD,Entire home/apt,2,180,65.0
SIXTH WARD,Entire home/apt,2,182,65.0
SIXTH WARD,Entire home/apt,1,360,127.0
SEVENTH WARD,Entire home/apt,5,350,244.0
ELEVENTH WARD,Private room,1,263,47.0
ELEVENTH WARD,Private room,1,267,47.0
ELEVENTH WARD,Private room,1,264,53.0
NINTH WARD,Entire home/apt,1,328,130.0
ELEVENTH WARD,Entire home/apt,1,355,34.0
SIXTH WARD,Entire home/apt,1,361,101.0
SIXTH WARD,Entire home/apt,1,259,83.0
NINTH WARD,Private room,2,179,68.0
